"","x"
"1",-1.16392851369395
"2",-4.30499126922946
"3",1.28349046947872
"4",-3.22880546201447
"5",0.396176701021623
"6",-4.42947435772969
"7",-6.21354390389431
"8",-5.21023665698856
"9",-8.21269272057757
"10",-5.53448722083148
"11",-7.3087499477913
"12",-5.98963466148028
"13",-3.64823411115083
"14",-4.29993029966665
"15",-3.66936387545406
"16",-5.56585503133537
"17",-3.81381833466028
"18",-0.799259734384424
"19",-5.56939834029061
"20",-6.67004019067802
"21",-1.81678071725682
"22",-0.883544051542375
"23",1.56241175011273
"24",-0.774452149000501
"25",-0.140364885813481
"26",-0.500227189108233
"27",-2.4691095545722
"28",-2.05479303439545
"29",-5.40881484416972
"30",-1.79631016983241
"31",-7.31080169036844
"32",-5.75703261235752
"33",-5.06459234653631
"34",-4.82203383271361
"35",-10.5614578980442
"36",-0.96151999566813
"37",0.446208221665801
"38",-1.13532446267393
"39",-0.874829134170854
"40",-1.46842916568251
"41",1.38259940900652
"42",-3.17649048468161
"43",1.21405468376361
"44",-2.25743160819059
"45",-0.377701087553772
"46",-0.785569918544663
"47",-0.861073517655314
"48",-1.49831769462994
"49",1.03173868721896
"50",-0.606877263086362
"51",-4.50297875933246
"52",-4.82087857504919
"53",-5.81607444561519
"54",-7.53264494670985
"55",-6.64935356624371
"56",-6.31797298842596
"57",-4.05758335253448
"58",-4.21036633340443
"59",-3.083329691169
"60",-8.16962403416059
"61",-0.281526668965807
"62",-3.06008900280411
"63",-1.25989280542997
"64",1.87588403265435
"65",-1.1622971783944
"66",-0.754868674557017
"67",-5.65061746447417
"68",-0.0522101797725017
"69",-1.04712031048448
"70",-5.02527199808621
"71",-7.94853301487611
"72",-9.65900226206599
"73",-8.9157269949866
"74",-9.84555183939479
"75",-3.07927056041325
"76",-9.24788159247231
"77",-7.33394876997527
"78",-5.19920896760899
"79",-5.40349799119678
"80",-6.20508715662602
"81",-1.42738844644253
"82",-0.273166960810312
"83",2.52588511220252
"84",2.3068784226337
"85",-0.423170250267988
"86",-2.48296732211698
"87",0.463494196965296
"88",0.0802191321498143
"89",-0.565381723904737
"90",-0.845977953994757
"91",-3.82316672484786
"92",-8.15443093041865
"93",-9.34108609413618
"94",-9.16927786354903
"95",-3.41974225889306
"96",-0.601268053581837
"97",-2.5469867554723
"98",-0.30475983860904
"99",-1.77778402868743
"100",0.626032442051331
"101",-6.13797857268413
"102",-6.38442754451936
"103",-3.03114894496249
"104",-7.80874145041031
"105",-4.83733466096398
"106",-8.83558737420245
"107",-7.35353646701925
"108",-8.08470144553347
"109",-9.99058383622965
"110",-11.8023988348906
"111",-0.314714257109695
"112",-0.432825730930999
"113",-1.26223860516953
"114",-0.759923426050445
"115",-0.461279645022906
"116",-2.70733320576924
"117",-0.909018895434176
"118",-1.55982760841809
"119",-0.689917554155445
"120",-2.88319998849389
"121",-0.732837748045277
"122",-4.13251334388839
"123",-3.49195366362128
"124",-1.14649203927258
"125",-2.68714060748909
"126",-3.31320653395512
