Gene	HGNC_ID
FOXB2	HGNC:23315
FOXD4L3	HGNC:18523
FOXD4L4	HGNC:23762
FOXE3	HGNC:3808
FOXN1	HGNC:12765
FOXR1	HGNC:29980
FRG2	HGNC:19136
FRMD7	HGNC:8079
FSCB	HGNC:20494
FUT5	HGNC:4016
FUT9	HGNC:4020
G6PC	HGNC:4056
GABRA1	HGNC:4075
GABRA6	HGNC:4080
GAGE1	HGNC:4098
GAGE2C	HGNC:31958
GALNTL5	HGNC:21725
GALR1	HGNC:4132
GALR3	HGNC:4134
GBP7	HGNC:29606
GCG	HGNC:4191
GCM2	HGNC:4198
GDF2	HGNC:4217
GFRA4	HGNC:13821
GFRAL	HGNC:32789
GH2	HGNC:4262
GHRH	HGNC:4265
GHSR	HGNC:4267
GIF	HGNC:4268
GJA10	HGNC:19155
GJA8	HGNC:4281
GK2	HGNC:4291
GKN2	HGNC:24588
GLRA1	HGNC:4326
GLRA2	HGNC:4327
GLT6D1	HGNC:23671
GML	HGNC:4375
GOLGA6L2	HGNC:26695
GOT1L1	HGNC:28487
GPR101	HGNC:14963
GPR111	HGNC:18991
GPR119	HGNC:19060
GPR128	HGNC:19241
GPR139	HGNC:19995
GPR144	HGNC:18651
GPR148	HGNC:23623
GPR151	HGNC:23624
GPR152	HGNC:23622
GPR26	HGNC:4481
GPR31	HGNC:4486
GPR32	HGNC:4487
GPR45	HGNC:4503
GPR50	HGNC:4506
GPR52	HGNC:4508
GPR78	HGNC:4528
GPRC6A	HGNC:18510
GPX5	HGNC:4557
GPX6	HGNC:4558
GRK1	HGNC:10013
GRM4	HGNC:4596
GRM5	HGNC:4597
GRM6	HGNC:4598
GSC2	HGNC:4613
GSTA5	HGNC:19662
GSX1	HGNC:20374
GSX2	HGNC:24959
GUCA2A	HGNC:4682
GUCY2F	HGNC:4691
H1FOO	HGNC:18463
H2BFM	HGNC:27867
H2BFWT	HGNC:27252
HAO1	HGNC:4809
HCRTR2	HGNC:4849
HDGFL1	HGNC:21095
HHLA1	HGNC:4904
HIST1H2AA	HGNC:18729
HIST1H2BA	HGNC:18730
HIST1H4G	HGNC:4792
HMX1	HGNC:5017
HOXB1	HGNC:5111
HOXD12	HGNC:5135
HRG	HGNC:5181
HRH3	HGNC:5184
HSFY1	HGNC:18568
HSFY2	HGNC:23950
HTN3	HGNC:5284
HTR1A	HGNC:5286
HTR2C	HGNC:5295
HTR3C	HGNC:24003
HTR3D	HGNC:24004
HTR3E	HGNC:24005
HTR5A	HGNC:5300
HTR6	HGNC:5301
IAPP	HGNC:5329
IFIT1B	HGNC:23442
IFNA10	HGNC:5418
IFNA14	HGNC:5420
IFNA16	HGNC:5421
IFNA17	HGNC:5422
IFNA2	HGNC:5423
IFNA21	HGNC:5424
IFNA4	HGNC:5425
IFNA5	HGNC:5426
IFNA6	HGNC:5427
IFNA7	HGNC:5428
IFNA8	HGNC:5429
IFNB1	HGNC:5434
IFNK	HGNC:21714
IFNW1	HGNC:5448
